"Ảnh","Mã sản phẩm","Ngày cập nhật","Chủng loại","Lưu ý nhận sx 1c / sx hết tồn","","Tên sản phẩm","Nguyên Giá (bắt buộc)","Giá TMĐT","Giá TMĐT làm tròn","Giá KM","Mùa vụ","Tồn","Màu sắc","SIZE SỐ","Chất liệu","Mô tả sản phẩm","Hàng tặng","","BST mới","Biển","Nghệ sĩ","","","","","","","","","","","","","","","","","","","","","Sale CH",""
"","MRKVX6031","06/08/2026","Váy xoè","Không nhận sx 1c","","Margo","950.000","","","","Xuân hè 2026","0","KEM","S,M,L","Pearl chiffon","Váy liền, cv xòe 2 lớp
kéo khóa sau SIZE S M L
Độ co giãn: không co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVO6059","06/08/2026","Váy ôm","Không cần cọc","","Myda","1.190.000","","","","Xuân hè 2026","6","HỒNG","S,M,L","Chiffon with Lurex","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, KHÓA SƯỜN
Độ co giãn: không co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRVAC6043","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Meline","390.000","","","","Xuân hè 2026","1","TRẮNG","S,M,L","Cotton Pima","Áo thun in hình (s-m-l)
""áo phông cotton 80% co giãn nhẹ nhàng thấm hút mồ hôi
Độ co giãn: co giãn nhẹ","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGOAC6015","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Maris","295.000","","","","Xuân hè 2026","0","TRẮNG","S,M,L","Cotton Pima","ÁO KHÔNG CÓ MÚT NGỰC, 1 LỚP CHUI ĐẦU
Độ co giãn: co giãn nhẹ","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6017","09/08/2026","Set quần","Không nhận sx 1c","","Mireva","1.200.000","","","","Xuân hè 2026","62","HỒNG, XANH NHẠT","S,M,L","Double Faced chiffon","KHOÁ SƯỜN
Độ co giãn: KO CO GIÃN","Áo bra","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKVX6010","06/08/2026","Váy xoè","Không nhận sx 1c","","Meridian","1.190.000","","","","Xuân hè 2026","42","NÂU","S,M,L","Chiffon with Lurex","Đầm liền 2 lớp , kéo khoá sườn
Độ co giãn: KO CO GIÃN","","","mới","","Diễn viên Cù Thị Trà","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SQ6016","06/08/2026","Set quần","Không nhận sx 1c","","Mirelle","790.000","","","","Xuân hè 2026","0","KEM","S,M,L","Vải visco","Set áo tay cộc tay + 
quần cạp chun 2 lóp 
size S , M 
DÀI ÁO 60 CM 
DÀI QUẦN 35 CM
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AC6017","06/08/2026","Áo cộc tay","HẾT HÀNG","","Maelis ","390.000","","","","Xuân hè 2026","0","ĐỎ, TIÊU, KEM, ĐEN","FREESIZE","Len Merino","KHOÁ CỔ
Độ co giãn: CO GIÃN NHIỀU","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AC6018","06/08/2026","Áo cộc tay","HẾT HÀNG","","Meliora","390.000","","","","Xuân hè 2026","","GHI","FREESIZE","Len Merino","không khóa
Độ co giãn: CO GIÃN NHIỀU","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6047","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Mavessa","390.000","","","","Xuân hè 2026","0","ĐEN, ĐỎ, HỒNG, NÂU ( màu nâu đã hết hàng ko nhận sx1c )","FREESIZE","Len Merino","ÁO KHÔNG CÓ MÚT NGỰC, 1 LỚP CHUI ĐẦU
Độ co giãn: CO GIÃN NHIỀU","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKSQ6035","06/08/2026","Set quần","Không cần cọc","","Miretta","950.000","","","","Xuân hè 2026","29","KEM, HỒNG","S,M,L","Swiss dot chiffon","ÁO KHÔNG CÓ MÚT NGỰC, ÁO CÀI CÚC SAU, 
ÁO 2 LỚP, QUẦN 2 LỚP CẠP CHU\N
Độ co giãn: ko co giãn","","","mới","","Diễn viên Cù Thị Trà","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6023","06/08/2026","Set váy","Không nhận sx 1c","","Myvi","1.350.000","","","","Xuân hè 2026","0","XANH NHẠT","S,M,L","Tussah Silk","CHÂN VÁY CẠP CHUN, VÁY 2 LỚP, CÓ DÂY BUỘC CỔ
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SQ6026","06/08/2026","Set quần","Không nhận sx 1c","","Mironne","990.000","","","","Xuân hè 2026","18","XANH NHẠT, HỒNG","S,M","Tussah Silk","ÁO KHÔNG CÓ MÚT NGỰC, QUẦN 2 LỚP CẠP CHUN, ÁO LƯNG THUN
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKAD6027","06/08/2026","Áo dài tay","Không nhận sx 1c","","Molissea","690.000","","","","Xuân hè 2026","0","TRẮNG","S","SILK CHIFON","KHOÁ VAI+ KHOÁ ÁO
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SQ6028","06/08/2026","Set quần","Không nhận sx 1c","","Mirielle","750.000","","","","Xuân hè 2026","0","TRẮNG","S,M,L","Ren Boil Thêu","QUẦN CẠP CHUN
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VX6034","06/08/2026","Váy xoè","Không nhận sx 1c","","Yelora","850.000","","","","Xuân hè 2026","0","TRẮNG","S,M,L","Kate Mỹ","KHOÁ SAU
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKSQ6031","06/08/2026","Set quần","Không nhận sx 1c","","Yelissea","990.000","","","","Xuân hè 2026","0","ĐEN, KEM, NÂU BE","FREESIZE","Tussah Silk","ÁO KHÔNG CÓ MÚT NGỰC, ÁO VÀ QUẦN 2 LỚP, QUẦN CẠP CHUN
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6060","06/08/2026","Váy xoè","Không nhận sx 1c","","Yelvia","1.200.000","","","","Xuân hè 2026","0","KEM","S,M","Misa foam elastic","Không khóa , chui đầu , lưng có chỉ chun co giãn
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VX6036","06/08/2026","Váy xoè","Không nhận sx 1c","","Yelorae","1.150.000","","","","Xuân hè 2026","0","KEM","S,M","Misa foam elastic","Không khóa , chui đầu , chất thun xốp co giãn
Độ co giãn: ko co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VX6041","06/08/2026","Váy xoè","Không nhận sx 1c","","Lysielle","890.000","","","","Xuân hè 2026","0","XANH","S,M","Rough Soft Kate cao cấp","CHUN NGANG EO , KHÔNG KHOÁ
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VS6044","06/08/2026","Váy suông","Không cần cọc","","Orinae","1.190.000","","","","Xuân hè 2026","0","VÀNG, TRẮNG","S,M","Lumpy silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP CHUI ĐẦU
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AD6045","06/08/2026","Áo dài tay","Không cần cọc","","Orissa","790.000","","","","Xuân hè 2026","0","XANH","S,M,L","Kate Mỹ","KHÔNG CÓ KHOÁ
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0CV6068","06/08/2026","Chân váy","Không nhận sx 1c","","Ovelle","650.000","","","","Xuân hè 2026","0","XANH GHI, HỒNG, KEM","S,M","Lụa satin","CẠP CHUN
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6073","06/08/2026","Set quần","Không nhận sx 1c","","Olviera","850.000","","","","Xuân hè 2026","0","BE","S,M","Vải tencel – lyocell","KHÔNG CÓ KHOÁ
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6055","06/08/2026","Set váy","Không nhận sx 1c","","Orlina","1.350.000","","","","Xuân hè 2026","0","Piera","S,M,L","voan rayon","KHÔNG CÓ KHOÁ
Độ co giãn: KHÔng co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6058","06/08/2026","Set váy","Không nhận sx 1c","","Orvessa","1.390.000","","","","Xuân hè 2026","2","KEM","FREESIZE","Len Cashmere","Áo chui đầu , Cv cạp chun
Độ co giãn: CO GIÃN NHẸ","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VS6078","06/08/2026","Váy suông","Không nhận sx 1c","","Orvoria","1.590.000","","","","Xuân hè 2026","18","KEM, XÁM ĐẬM","S,M","Len Mohair","Không khóa , chui đầu
Độ co giãn: CÓ CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6059","06/08/2026","Set váy","Không nhận sx 1c","","Ovielle","990.000","","","","Xuân hè 2026","0","TRẮNG","S,M","Cotton boil thêu cao cấp","Áo chui đầu , chân váy cạp chun
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6106","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Prina","390.000","","","","Xuân hè 2026","0","TRẮNG, KEM, XANH, HỒNG","FREESIZE","Cotton Pima","CHUI ĐẦU
Độ co giãn: CO GIÃN 4 CHIỀU","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6074","06/08/2026","Set váy","Không nhận sx 1c","","Palia","1.250.000","","","","Xuân hè 2026","31","TRẮNG","S,M","COTTON BOIL","ÁO ĐÓNG CÚC TRƯỚC , CHÂN VÁY KHOÁ SƯỜN
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VX6075","06/08/2026","Váy xoè","HẾT HÀNG","","Parin","1.100.000","","","","Xuân hè 2026","0","NÂU BE","S,M","Soft textured chiffon","CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN
( Phần lưng có co giãn do chạy chun )","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6110","06/08/2026","Set quần","Không nhận sx 1c","","Parisa","1.390.000","","","","Xuân hè 2026","0","TRẮNG","S M ","Linen Lace","ÁO CHUI ĐẦU 
QUẦN CẠP CHUN
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SQ6077","06/08/2026","Set quần","HẾT HÀNG","","Patria","1.250.000","","","","Xuân hè 2026","0","TRẮNG, NÂU","S,M","Linen Lace","ÁO CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VS6111","06/08/2026","Váy suông","Không nhận sx 1c","","Pavly","1.100.000","","","","Xuân hè 2026","3","KEM, NÂU","S,M ","Linen Lace","CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6112","06/08/2026","Váy xoè","Không nhận sx 1c","","Payla","950.000","","","","Xuân hè 2026","0","KEM","FREESIZE","Eyelet","KHÓA LƯNG
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AD6112","06/08/2026","Áo dài tay","Không nhận sx 1c","","Piera","990.000","","","","Xuân hè 2026","1","KEM","S,M","Floral lace","CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AD6113","06/08/2026","Áo dài tay","Không nhận sx 1c","","Pinae","950.000","","","","Xuân hè 2026","0","KEM","FREESIZE","Raw silk","CHUI ĐẦU , ĐÓNG CÚC TRƯỚC
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6114","06/08/2026","Set quần","Không cần cọc","","Plena","990.000","","","","Xuân hè 2026","1","HỒNG, XANH, VÀNG","S,M","Rough silk stripes","""ÁO ĐÓNG CÚC TRƯỚC
QUẦN CẠP CHUN.
CÓ ĐỆM NGỰC""
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AH6115","06/08/2026","Áo hai dây, Áo cụp ngực/ cosxe","Không nhận sx 1c","","Plora","750.000","","","","Xuân hè 2026","0","XANH ĐẬM, XANH NHẠT","FREESIZE","Rough silk stripes cao cấp","ÁO CHUI ĐẦU, 2 LỚP KHÔNG CÓ MÚT NGỰC
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SQ6115","06/08/2026","Set quần","Không nhận sx 1c","","Polina","1.350.000","","","","Xuân hè 2026","5","TRẮNG","S,M ","Rough silk stripes","ÁO CHUI ĐẦU, QUẦN CẠP CHUN. ÁO 1 LỚP. QUẦN 2 LỚP
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGVVX6076","06/08/2026","Váy xoè","Không nhận sx 1c","","Pora","850.000","","","","Xuân hè 2026","3","TRẮNG","S,M ","kate boil","KHÓA LƯNG, 2 LỚP
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VS6121","06/08/2026","Váy xoè","Không nhận sx 1c","","Pryne","1.250.000","","","","Xuân hè 2026","1","VÀNG, HỒNG, ĐỎ, LƯU Ý : KHÔNG NHẬN SX 1C MẦU ĐỎ","S,M ","Raw Silk","VÁY 2 DÂY,KO KHÓA","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6126","06/08/2026","Set váy","Không nhận sx 1c","","Trina","1.290.000","","","","Xuân hè 2026","0","VÀNG","S,M ","Silk Voile","Set váy 2 dây kèm áo khoác buộc dây
VOAN TƠ","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6129","06/08/2026","Set váy","Không nhận sx 1c","","Trisa","1.090.000","","","","Xuân hè 2026","0","NÂU, KEM","S,M","Crinkle Chiffon","SET ÁO +CV TƠ XỐP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VS6132","06/08/2026","Váy suông","Không nhận sx 1c","","Triva","650.000","","","","Xuân hè 2026","0","KEM","FREESIZE","mesh lace,Silk Chiffon","VÁY LIỀN
REN LƯỚI +VOAN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKSQ6031","06/08/2026","Set quần","Không nhận sx 1c","","Fioraé","990.000","","","","Xuân hè 2026","0","KEM","FREESIZE","ĐŨI LINEN","ÁO KHÔNG CÓ ĐỆM NGỰC , ÁO VÀ QUẦN 2 LỚP, QUẦN CẠP CHUN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6144","06/08/2026","Set váy","Không nhận sx 1c","","Trisue","1.250.000","","","","Xuân hè 2026","0","NÂU","FREESIZE","Silk Chiffon","SET ÁO + CHÂN VÁY 
VOAN CÁT MỎNG NHẸ BAY BAY","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6153","06/08/2026","Áo cộc tay","HẾT HÀNG","","Triena","490.000","","","","Xuân hè 2026","0","NÂU","S,M","Swiss dot chiffon","ÁO 2 LỚP, CHUI ĐẦU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VO6156","06/08/2026","Váy ôm","Không nhận sx 1c","","Trilena","1.150.000","","","","Xuân hè 2026","0","VÀNG, XANH","S,M","Chiffon blend fabric","KHÓA SƯỜN, VÁY 2 LÓP
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AD6161","06/08/2026","Áo dài tay","HẾT HÀNG","","Trinor","1.190.000","","","","Xuân hè 2026","0","XANH","FREE SIZE","Striped chiffon blend","ÁO SƠ MI+ KÈM ÁO REN
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6162","06/08/2026","Set quần","HẾT HÀNG","","Trinova","1.190.000","","","","Xuân hè 2026","0","TRẮNG KEM","FREE SIZE","ĐŨI LINEN","ÁO+QUẦN,CHUI ĐẦU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6160","06/08/2026","Set váy","HẾT HÀNG","","Trinelle","1.190.000","","","","Xuân hè 2026","0","KEM","S,M","Lace mix Japanese silky fabric","SET ÁO+ CHÂN VÁY,CHUI ĐẦU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6164","06/08/2026","Váy xoè","Không nhận sx 1c","","Trivon","890.000","","","","Xuân hè 2026","0","XANH GHI","S,M","Jersey fabric,Silk blend fabric","VÁY LIỀN,CHUI ĐẦU, 2 LỚP
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AH6165","06/08/2026","Áo hai dây, Áo cụp ngực/ cosxe","HẾT HÀNG","","Trivina","590.000","","","","Xuân hè 2026","0","NÂU RÊU","FREE SIZE","Silk blend fabric","2 LỚP, CHUI ĐÀU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6166","06/08/2026","Set quần","HẾT HÀNG","","Trivya","1.190.000","","","","Xuân hè 2026","0","XANH","FREE SIZE","slub linen","SET ÁO 2 DÂY + QUẦN DÀI CẠP CHUN
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VS6167","06/08/2026","Váy suông","HẾT HÀNG","","Trivellea","990.000","","","","Xuân hè 2026","0","KEM","FREE SIZE","Silk Chiffon","VÁY SUÔNG XẾP LY,
 ĐÓNG CÚC CỔ SAU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6168","06/08/2026","Váy xoè","Không nhận sx 1c","","Trivana","990.000","","","","Xuân hè 2026","0","KEM","S,M","Floral lace","VÁY 2 LỚP CHUI ĐẦU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6171","06/08/2026","Váy xoè","HẾT HÀNG","","Trivora","990.000","","","","Xuân hè 2026","0","TRẮNG","S,M","Floral lace","VÁY 2 LỚP CHUI ĐẦU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6169","06/08/2026","Váy xoè","HẾT HÀNG","","Trivinae","1.250.000","","","","Xuân hè 2026","0","BE","S,M","Crinkle Chiffon","VÁY 2 LỚP , KHÓA SƯỜN
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6172","06/08/2026","Váy xoè","HẾT HÀNG","","Felyaé","990.000","","","","Xuân hè 2026","0","XANH","S,M","striped cotton with bow prin","VÁY 2 LỚP CHUN LƯNG
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6174","06/08/2026","Set quần","Không nhận sx 1c","","Florine","990.000","","","","Xuân hè 2026","0","TRẮNG KEM, BE","FREE SIZE","ĐŨI LINEN","CHUI ĐẦU
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6175","06/08/2026","Set váy","Không nhận sx 1c","","Flora","980.000","","","","Xuân hè 2026","0","TRẮNG","FREE SIZE","mesh lace,Silk Chiffon","ÁO +VÁY LIỀN KÈM DÂY BUỘC, CHUI ĐẦU 2 LỚP
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6176","06/08/2026","Set váy","HẾT HÀNG","","Flavie","1.280.000","","","","Xuân hè 2026","0","KEM","S,M","embroidered floral chiffon fabric","ĐÓNG CÚC
Độ co giãn: KO CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6177","06/08/2026","Set váy","Không cần cọc","","Flavia","990.000","","","","Xuân hè 2026","0","HỒNG","S,M","ightweight airy chiffon","CẠP CHUN
Độ co giãn: KHÔNG","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGKVX6044","06/08/2026","Váy xoè","Không nhận sx 1c","","Féline","1.190.000","","","","Xuân hè 2026","55","VÀNG, HỒNG TÍM","FREESIZE","flowy crinkled chiffon fabric","CHUI ĐẦU
Độ co giãn: KHÔNG","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6180","06/08/2026","Set váy","HẾT HÀNG","","Fabienne","990.000","","","","Xuân hè 2026","0","XANH","FREESIZE","Soft silk chiffon","CHUI ĐẦU
Độ co giãn: KHÔNG","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AH6181","06/08/2026","Áo hai dây, Áo cụp ngực/ cosxe","HẾT HÀNG","","Fabiola","690.000","","","","Xuân hè 2026","0","CỐM, KEM","S,M","Silk Voile","CHUI ĐẦU
Độ co giãn: KHÔNG","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6182","06/08/2026","Váy xoè","HẾT HÀNG","","Fabia","1.190.000","","","","Xuân hè 2026","0","XANH","S,M","Crinkle Chiffon","CHUI ĐẦU
Độ co giãn: KHÔNG","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VS6185","06/08/2026","Váy suông","Không nhận sx 1c","","Fania","1.090.000","","","","Xuân hè 2026","0","KEM","FREESIZE","embroidered floral chiffon fabric","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUI ĐẦU
Độ co giãn: KHÔNG","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6186","06/08/2026","Váy xoè","HẾT HÀNG","","Fiora ","1.290.000","","","","Xuân hè 2026","0","BECAM","S,M","Soft silk chiffon","VÁY XÒE","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6187","06/08/2026","Váy xoè","HẾT HÀNG","","Faye ","750.000","","","","Xuân hè 2026","0","KEM, XANH","FREESIZE","embroidered floral chiffon fabric","VÁY LIỀN KÈM ĐAI","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6189","06/08/2026","Set váy","Không nhận sx 1c","","Feline","1.190.000","","","","Xuân hè 2026","0","KEM","S,M","textured linen","ÁO KHÔNG CÓ MÚT NGỰC, ÁO 1 LỚP, CHÂN VÁY 2 LỚP,
 ÁO CHUI ĐẦU, CHÂN VÁY CẠP CHUN
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AD6191","06/08/2026","Áo dài tay","HẾT HÀNG","","Fiona","990.000","","","","Xuân hè 2026","0","TRẮNG","FREESIZE","Silk Voile","Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6193","06/08/2026","Váy xoè","HẾT HÀNG","","Fioraelle","1.650.000","","","","Xuân hè 2026","0","KEM NÂU","S,M,L","organza fabric","KÉO KHOÁ LƯNG
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AD6194","06/08/2026","Áo dài tay","Không nhận sx 1c","","Fioraine","900.000","","","","Xuân hè 2026","0","ĐỎ, KEM","FREESIZE","silk satin","ÁO KHÔNG CÓ MÚT NGỰC, ÁO 1 LỚP,CÀI CÚC THÂN SAU ÁO
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6207","06/08/2026","Set váy","Không nhận sx 1c","","Fioraia","3.090.000","","","","Xuân hè 2026","0","NÂU","S,M,L","raw silk","VÁY KHÔNG CÓ ĐỆM NGỰC, ÁO CÓ CHUN LƯNG ÁO , KHOÁ LƯNG 
CHÂN VÁY KÉO KHOÁ , ÁO VÀ CHÂN VÁY 2 LỚP
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6206","06/08/2026","Váy xoè","Không nhận sx 1c","","Fioraen","1.560.000","","","","Xuân hè 2026","0","BE","S,M,L","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUN LƯNG VÀ KHÓA SAU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6210","06/08/2026","Váy xoè","Không nhận sx 1c","","Faria","2.100.000","","","","Xuân hè 2026","0","BE NÂU","S,M,L","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUN LƯNG VÀ KHÓA SAU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6196","06/08/2026","Váy xoè","HẾT HÀNG","","Fariae","2.100.000","","","","Xuân hè 2026","0","XANH","S,M,L","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUN LƯNG VÀ KHÓA SAU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6213","06/08/2026","Váy xoè","HẾT HÀNG","","Farine ","2.670.000","","","","Xuân hè 2026","0","KEM","S,M,L","raw silk","Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6200","06/08/2026","Váy xoè","HẾT HÀNG","","Farahs","1.610.000","","","","Xuân hè 2026","0","BE","S,M,L","Silk Chiffon","Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6197","06/08/2026","Váy xoè","Không nhận sx 1c","","Farinel","1.610.000","","","","Xuân hè 2026","0","BELOANG","S,M,L","Silk Chiffon","VÁY KHÔNG CÓ ĐỆM NGỰC, 2 LỚP, CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6198","06/08/2026","Váy xoè","HẾT HÀNG","","Farinelle","2.640.000","","","","Xuân hè 2026","0","CAM","S,M,L","raw silk","Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6199","06/08/2026","Váy xoè","Không nhận sx 1c","","Farinia","2.640.000","","","","Xuân hè 2026","0","XANH","S,M,L","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUN LƯNG VÀ KHÓA SAU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6202","06/08/2026","Váy xoè","Không nhận sx 1c","","Felina","2.640.000","","","","Xuân hè 2026","0","XANH","S,M,L","raw silk","VÁY KHÔNG CÓ MÚT NGỰC, VÁY 2 LỚP, CHUN LƯNG VÀ KHÓA SAU
Độ co giãn: KHÔNG CO GIÃN","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
